,id,hypothesis,reference
0,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:29:53.41_00:29:55.58,ತಾವು ವಿಲ್ಲಿ ಗ್ರಾ ಸ್ಕಟ್ಟುಗ್ ಕ್ವ್ಯೂಲೈಸರ್ ಮತ್ತೂ ಒಳಗೊಂಡನವರು,ತಾವು ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗ್ ಕೆಲ್ಸ ಮಾಡ್ತಿದೀರಿ ಅಲ್ವಾ
1,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:57.01_00:34:00.40,ಐ ಹೋಪ್ ಐಲ್ ಗೆಟ್ಟರ್ ಸೈಂಡ್ ಕಾಪಿ ಟು,ಮೈ ಪ್ಲಷರ್ ಐ ಹೋಪ್ ಐ ವಿಲ್ ಗೆಟ್ ಆ ಸೈನ್ಡ್ ಕಾಪಿ ಟೂ
2,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:08:16.34_00:08:22.25,ಯೋ ಚಿ ಸಿಲ್ಲಾ ನಮ್ಮೀಪ್ರ ಮುಖ ಮಾಕು ಆಗತ್ತೆ ಅಂತ,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ಬರ ಮುಖಾಮುಖಿಯಾಗುತ್ತೆ ಅಂತ
3,AVRODH_EP_03_KANNADA_20_PM.STEREO_00:17:42.59_00:17:43.35,ನಾನು ನೀಡಿದ್ದಲ್ಲಿ ಅವರೂ ಇಂದುವು,ಸರ್
4,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:12:37.21_00:12:39.40,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಈ ಪಾಬ್ಲೆಮ್ ಗೂ ಒಂದೇ ಸಲ್ಯೂಷಣ,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ್ ಇದೆ
5,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:05:10.35_00:05:12.00,ಅ ಸೊನ್ನೆ ದ್ರೇ,ಅಂದ್ರೆ
6,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:22:14.36_00:22:18.20,ಯಾರಿ ಗೊತ್ತಿತು ಇದನ್ನುಂುು್ಂದ್ದ ನನಗೆ ಕೆಳ್ಬೇಕು,ಯಾರಿಗೆ ಗೋತಿತ್ತು ಇದನ್ ಯಾರಾದರೂ ನಂಗೆ ಕೇಳಬೇಕು
7,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:03:15.51_00:03:18.50,ಮಿಸ್ಟರ್ ಬಾಬ್ ಟೆರಿ,ಮಿಸ್ಟರ್ ಬಾಬ್ ಡೇರಿ
8,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:13:47.06_00:13:49.00,ಮತ್ತು ಸ್ಥಿರದಲ್ಲಿ ಮಾಡುವ ನೆಲೆ ಹೊಂದ್ದೂರ ಹಲ ಮೇಟ್ ಅವರು ಈ ಕೋರ್ಟವು,ವಿ ಟು ಥ್ರೀ ಡೌನ್
9,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:30:03.21_00:30:07.50,ಮತ ಕೇಳಿ ಅಗತ್ಯ ಬಿದ್ರೆ ನಾಳೆನೀವು ಎರಡ್ಮೂರ್ನ ಜನರ ನ್ಲೂ ಹಚ್ಚುಮ ಆಡಿ,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯಬಿದ್ದರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನ್ರನ್ನ ಹೆಚ್ಚು ಮಾಡಿ
10,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:19:58.41_00:20:00.00,ನೌ ತಲು ಪುಲಾ ಮೇಕೂ ವಿಲ್,ನಾವು ತಲುಪಲೇ ಬೇಕು ವೀ ವಿಲ್
11,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:18:59.21_00:19:02.34,ಎಕ್ಸ್ ಮಿ ನ್ಯೂ ಸ್ವಲ್ಪ ಹೊರಗೆ ಬರ್ತಿರ ಪ್ಲೀಸ,ಎಸ್ಕ್ಯೂಸ್ ಮೀ ನೀವ್ ಸ್ವಲ್ಪ ಹೊರಗೆ ಬರ್ತೀರಾ
12,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:18:26.01_00:18:30.47,ಬಾಯ್ಸ್ ರೇಜಿಮೆಂಟ್ ನ ಮೇ ಜರ್ ಸು ಲೀಫ್ ಅದರವೈಸಲ್ಲಾ ಬೋಯಿ ಜೊನ್ಡ್ ಪೆ ಬಳ್ಳು,ಬಾಯ್ಸ್ ಐ ಥಿಂಕ್ ಐ ಶುಡ್ ಲಿವ್ ಅದರ್ ವೈಸ್ ದ ಬಾಯ್ಸ್ ದಿ ಏಬಲ್ ಟು ನೈಟ್
13,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:03:31.55_00:03:40.58,ಆಹಾರ್ ಖಂಡಿತ ಸಿ ಸೊನ್ನೆ ಬಹುದು ಆದರೆತ್ತೀಮರಕೋಟ್ ಹೂಗೋ ಮು್ಲ್ಗ್ ರಾ ತಿ್ರ ನಿ,ಹಹಾ ಖಂಡಿತ ಸಿಗ್ಬಹುದು ಆದರೆ ತಿಮರ್ ಕೋಟ್ ಹೋಗೋ ಮೊದ್ಲು ರಾತ್ರಿ ನಿಂತು ಮಾಂಸದೂಟನೂ ಮಾಡಿ
14,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:03:02.01_00:03:03.55,ಒಗ್ಗೊಂಡ ಮಿಯಾ,ಹೋಗೋಣ್ವಾ ಮಿಯಾ
15,AVRODH_EP_05_KANNADA_20_PM.STEREO_00:14:20.51_00:14:23.20,ನನ್ನ ಕಾಂಟ್ಯಕ್ಟನೆಲ್ಲಿ ನಮಗೆ ಶುದ್ಧಿಸಿ್ಕೇದೆ ಈ ದು ಧೀರಾ ಪೂರ್ವತಿಈದ ಡಾ,ನನ್ ಕಾಂಟಾಕ್ಟ್ ನಲ್ ಒಂದು ಸುದ್ದಿ ಸಿಕ್ಕಿದೆಯೆಂದು ದಿನಾ ಪೂರ್ತಿ ಒಂದು ಡೋನಿಯರ್
16,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:14:28.21_00:14:29.00,ಯಾ ಒಂಬತ್ತು ನೀರಿಗೆ ಮಾಡುವ ಸೊಗಸ್ಥವರು,ಯಾ
17,AVRODH_EP_07_KANNADA_20_PM.STEREO_00:16:31.01_00:16:35.20,ನಾವ ಕೆಲವು ಕಠಿಣ ನಿೃಣಯ ತಗೊಬೆ ಕ್ಕಾ ಗತ್ತೇ ಇಂತಹ ನೀರನೇ,ನಾವು ಕೆಲವು ಕಠಿಣ ನಿರ್ಣಯ ತಗೋಬೇಕಾಗುತ್ತೆ ಎಂಥಹ ನಿರ್ಣಯ
18,AVRODH_EP_07_KANNADA_20_PM.STEREO_00:08:26.21_00:08:29.58,ಐ ಲವ್ ಯು ಆಲ್ ವೇಸ್,ಐ ಲವ್ ಯು ಆಲ್ವೇಸ್
19,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:32:31.01_00:32:38.42,ಶೇರ್ಖಾನ್ ಮೋಚ್ಯೂಟ್ ಸಿಕ್ಸ್ ಥೆರಸಮ್ ಆಕೀಟಿ ಸ್ಟೂ ಮ್ಲೂಈ್ಡ್ ಟ್ರುವೊಂಡೋ ಮತ್ತು ತಗ್ಗೆ ಸೈಜ್ ಪಜೆ,ಶೇರ್ಖಾನ್ ವಾಚ್ ಯು ಸಿಕ್ಸ್ ದೇರ್ ಹ್ಯಾಸ್ ಸಮ್ ಆಕ್ಟಿವಿಟಿ ಮೂವ್ ಈಸ್ಟ್ ಮೂವ್ ಈಸ್ಟ್ ಟು ಹಂಡ್ರೆಡ್ ಮೀಟರ್ ಟಾರ್ಗೆಟ್ ಇಸ್ ಚೇಂಜ್ಡ್ ಇಟ್ಸ್ ಪೊಸಿಷನ್
20,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:13:18.21_00:13:19.51,ಓ ಟೈಮ್ ಇಸ್ ಬ್ಲಾಕ್ ಔಟ್,ವಾಟ್ ಟೈಮ್ ಇಸ್ ಬ್ಲಾಕೌಟ್
21,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:18:07.56_00:18:14.43,ನಮ್ಮ ವೀಣ ಯೋಧರು ಯಾವ ಪರಿಸ್ಥಿಿ ನೂ ಕೆದ್ದುಬರ್ತರ ಇಲ್ಲಕ್ಕೇಳ್ಳೋ ಪೂಡವಸೇ ನಯವೋ,ನಮ್ಮ ವೀರ ಯೋಧರು ಯಾವ ಪರಿಸ್ಥಿತಿಯನ್ನೂ ಗೆದ್ದು ಬರುತ್ತಾರೆ ಇಲ್ಲಿ ಗೆಲ್ಲೊ ಭರವಸೆ ಕೂಡ ಇದೆ
22,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:19:06.01_00:19:23.08,ನಾವು ಹೀಗೆ ಕೆಲಸ ಮಾ ಡಬೇಕಂದ್ರೇ ಕಶ್ಮೀ ರದ ಆಸದಿಯ ಹ್ಯಮ್ ನ ಅದುಕೋಲ್ವಲ ಜೈಷ್ಠ ಮೊಬ್ಬತ್ತಗಿ ಮ ತೃಣಸ್ಥರನ್ನೂ ದೊ ರು,ನಾವು ಹೇಗೆ ಕೆಲ್ಸ ಮಾಡಬೇಕೆಂದ್ರೆ ಕಾಶ್ಮೀರದ ಆಝದಿಯಾ ಹೆಮ್ಮೆ ಅದು ಕೇವಲ ಜೇಷೆ ಮೊಹಮ್ಮದ್ ಗೆ ಮಾತ್ರ ದೊರಕ್ಬೇಕು
23,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:15.51_00:33:31.50,ಯಾಕೆಂದ್ರೆ ಬರಿ ನೀನು ಬುಳಿಸ್ತತ್ಯ ದಸನಹೀ ಬ ಸೊನ್ನ ದೌಳು ್ಲ ನಾ ಕೂಡದಿ್ದೆ್ ರೇ ಇಣ್ಣಕ್ಕ ತಳ ವ್ಹಾ್ಮಕಟ್ಟು,ಯಾಕೆಂದ್ರೆ ಬರಿ ನೀನು ಒಬ್ಬಳೇ ಸತ್ಯದ ಸನಿಹ ಬಂದವಳು ನಾನು ಕೊಡದಿದ್ರೆ ನಿಂಗೆ ತಡವಾಗ್ತಿತ್ತು ಆದ್ರೆ ನನಗೆ ಗೊತ್ತಿತ್ತು ಈ ಕಥೆಯನ್ನ ಹುಡಿಕೆ ಬಿಡಿತ್ತಿದ್ದೆ
