,id,hypothesis,reference
0,AVRODH_EP09_MARATHI_MIX_081020_00:03:07.44_00:03:13.03,सगळे देश आपल्या सोबत आहेत कारण त्य़ांना परिस्थिती माहितेय बोलाप्रशांजी,सगडे देश आपल्या सोबत आहेत कारण त्यांना परिसतिथी माहीत आहे बोला प्रशांत जी
1,AVRODH_EP06_MARATHI_MIX_081020_00:26:15.45_00:26:20.08,एक बातमी कदाचित तुम्हाला मदत होईल,एक बातमी आहे कदाचित तुम्हाला मदत होईल
2,AVRODH_EP09_MARATHI_MIX_081020_00:27:47.41_00:27:50.57,जनरल सेबॅस्टियन ने स्वतः पाकिस्तानी आर्मी चीफ लादावी,जनरल सेबेस्टियनने स्वतः पाकिस्तानी आर्मी चीफला द्यावी
3,AVRODH_EP06_MARATHI_MIX_081020_00:20:11.41_00:20:19.38,बाय गायज सी यू अँड टेक केल,बाय गाइज़ सी यू एण्ड टेक केयर
4,AVRODH_EP05_MARATHI_MIX_081020_00:23:13.01_00:23:15.44,हा तर आपल्या सुभूत होता अथा यांच्य़ा स्वयंसाठी येईल,हा तर आपल्या सोबत होता आता त्यांचा सोबत
5,AVRODH_EP09_MARATHI_MIX_081020_00:10:53.37_00:10:55.00,कॉपी सॉ,कॉपी सर
6,AVRODH_EP07_MARATHI_MIX_081020_00:09:26.24_00:09:32.30,तर त्यामध्ये कुठलाही इंडियन ऑफिसर दोषी नसेल हे सांगतोय,तर त्यामध्ये कुठला ही इंडियन ऑफिसर दोषी नसेल हे सांगतोय
7,AVRODH_EP06_MARATHI_MIX_081020_00:12:45.38_00:12:48.11,ही दोन्ही मुलं वीस वर्षांपूर्ती एक हजार नऊ शे त्रेचाळीस मध्ये पुढची होती,ये दोन्ही मुलं दोन वर्षांपूर्वी
8,AVRODH_EP05_MARATHI_MIX_081020_00:19:06.14_00:19:07.22,लावा,लावा
9,AVRODH_EP05_MARATHI_MIX_081020_00:14:09.01_00:14:09.40,समाजात येणाऱ्या महत्त्वपूर्ण पुरुषांचे प्रतिपादन आणि विवेकांनी वापरले असे आहे,सॉरी
