,id,hypothesis,reference
0,Avrodh_0006_HD_AVC_00:07:25.40_00:07:29.40,अब तुम अपने बॉस का नाम खुद बताओगे यह मुंगल वाली,अब तुम अपने बॉस का नाम खुद बताओगे या हम उगल वाले
1,Avrodh_0007_HD_AVC_00:05:13.34_00:05:17.22,पर प्लीज डॉन किव द पैशन यू है फुए पॉफेशियन पेकर्स दिसें,बट प्लीज डोन्ट गिव अप द पैशन यू हैव फॉर योर प्रोफेशन बिकॉज ऑफ दिस
2,Avrodh_0003_HD_AVC_00:22:56.26_00:22:58.19,वो बहुत जल्द सब कुछ निपटा लेंगे साथ,वो बहुत जल्द सब कुछ निपटा लेंगे सर
3,Avrodh_0001_HD_AVC_Rev_00:15:09.11_00:15:10.10,जैन,जय हिन्द
4,Avrodh_0004_HD_AVC_00:24:17.04_00:24:19.00,इसका अंतर टेररेस द में स्पर्च,ही इस द काउंटर टेररिज्म एक्सपर्ट सर
5,Avrodh_0002_HD_AVC_00:00:48.44_00:00:50.48,तो आखिर आ था जो,तो आखिरी रात आज
6,Avrodh_0002_HD_AVC_00:03:40.31_00:03:43.30,सर्व पतानी कैसे एजेंस्ट रफ्तू द क्रॉक संभव,सर पता नहीं कैसे इट इफ जस्ट क्रैक सम हाउ
7,Avrodh_0002_HD_AVC_00:01:41.31_00:01:42.10,चक्करों का प्रतिबंधन के लिए पहुँच सकता है,चेक करो
8,Avrodh_0008_HD_AVC_00:14:17.34_00:14:21.00,टीम एल्फा ने कहा है कि सभी टिम स्टैंड बैग होंगे,टीम अल्फा ने कहा है के सभी टीम स्टैंड बाय पे होंगे
9,Avrodh_0003_HD_AVC_00:15:28.16_00:15:32.38,और रूटीन स्टेटमेंट्स भी एश्यू होंगे,और रूटीन स्टेटमेंट्स भी इशू होंगे
10,Avrodh_0007_HD_AVC_00:00:50.14_00:00:51.22,यही टारगेट्स,एनी टरगेट्स
11,Avrodh_0005_HD_AVC_00:02:13.56_00:02:21.25,आपको पता हो क्या कहीं वो कहेंगे वित्ती में तेरी टांघे तोड़ दूनिया गरगर्न,आपको पता है वो क्या कहेंगी वो कहेंगी विदीप मैं तेरी टाँगे तोड़ दूँगी अगर घर आया तो एक्सेप्ट द मिशन
12,Avrodh_0005_HD_AVC_00:01:25.05_00:01:27.04,वोडिज़ा मिशन स्टेटमेंट,व्हाट इस ओवर मिशन स्टेटमेंट सर
13,Avrodh_0006_HD_AVC_00:04:50.21_00:04:52.00,आज सुबह से,आज सुबह से
14,Avrodh_0004_HD_AVC_00:17:20.23_00:17:27.52,कहां मिले रहे चार घंटे के अंदर मुझे जाना है,कहाँ मिलेगा ये चार घंटे के अंदर मुझे जानना है
15,Avrodh_0001_HD_AVC_Rev_00:17:43.58_00:17:45.51,हौफा बेहाई जैसे कपड़ी,होउ फॉर बिहाइंड इज़ द कंपनी
16,Avrodh_0001_HD_AVC_Rev_00:30:30.26_00:30:31.10,जी जन आप,जी जनाब
17,Avrodh_0009_HD_AVC_00:19:03.26_00:19:05.00,जगहोल जाओ,जैकॉल डाउन
18,Avrodh_0008_HD_AVC_00:00:12.23_00:00:13.45,सितारा सिंह से भारत में भी पहले हैं,सितारा की बेस
19,Avrodh_0004_HD_AVC_00:10:04.04_00:10:10.24,हाँ बैक अन्न फॉचिन अट्टे मुज्जत पर पता नी चलता की तुंका,हाँ आई एम बेक एंड अनफॉर्चूनेटली मुझे तो कभी पता ही नहीं चलता कि तुम कहाँ हो
20,Avrodh_0007_HD_AVC_00:09:10.01_00:09:12.44,मेजसूद की मौत आपकी वजह से नहीं हो,मेजर सूत की मौत आपकी वजह से नहीं हुई है
21,Avrodh_0008_HD_AVC_00:05:52.12_00:05:53.15,थिंक्स और राजवाड़ा के लिए भारत में प्रतिभाग किया जाता है,थैंक्स सर
22,Avrodh_0005_HD_AVC_00:12:25.31_00:12:26.40,जबकि उन्होंने कहा कि कुछ बच्चा गया है,जय हिंद
