,reference,transcription
0,ഈ നഗരം രാജ്യത്തെ മറ്റ് നഗരങ്ങളിൽ നിന്ന് പൂർണ്ണമായും വ്യത്യസ്തമാണ് കാരണം ഇതിന് ആഫ്രിക്കൻ വാസനയേക്കാൾ അറബിവാസനയാണ് കൂടുതൽ," ఇనగరం రాజుతే మట్టు నగరంగలునీన పూర్ణమాయిం విత్యస్థమాను, కారణం ఇదిన ఆఫ్రికం వాసనే కల ఆరపి వాసనే ఆన కੂడుధిలు."
1,പാലത്തിനു താഴെയുള്ള കുത്തനെയുള്ള ഉയരം 15 മീറ്ററാണ് ഇതിൻ്റെ നിർമ്മാണം 2011 ഓഗസ്റ്റിൽ പൂർത്തിയാക്കിയതാണ് എന്നാൽ ഇത് 2017 മാർച്ച് വരെ ഗതാഗതത്തിനായി തുറന്ന് കൊടുത്തിട്ടില്ല," पालतिन्दे ताले उल्ला कुत्तने उल्ला उयरम् 15 मीटर आन, इदिन्दे नर्मानम् 2011 ओगस्टिल् पूर्ति आक्यदान, इन्नाल इदे 2017 मार्च वरे गदागदतिनाई तूरन्न कोडुत्तित्तिल्ला।"
2,ഇത് ബന്ധപ്പെട്ടിരിക്കുന്നു എന്നാൽ സാധാരണയായി ആൽപൈൻ ശൈലിയിലുള്ള സ്കീ ടൂറിംഗോ പർവ്വതാരോഹണമോ ഉൾപ്പെടുന്നില്ല ഇതിൽ രണ്ടാമത്തേത് കുത്തനെയുള്ള ഭൂപ്രദേശങ്ങളിൽ ചെയ്യുന്നതും കൂടുതൽ കട്ടിയുള്ള സ്‌കീകളും ബൂട്ടുകളും ആവശ്യമായതുമാണ്, ఇద్ బంద పెట్ ఇరిక్యున్ను ఎన్నాల్ సాధార్ణె ఆఈ ఆల్పాయ్ణ శైలీలుల స్కి టూరింగో పర్వదారో హణమో ఉల్పెడున్ ఇల్లా ఇదిల్ రండామతేద కుత్తనే ఉల్ల బూ ప్రదేశంగళిల్ చేయున్ అదుం కూడుదల కట్టి ఉల్ల స్కి గళుం బూటు గళుం ఆవిష్యమ ఆయదు మాన
3,സഹ ഗുസ്തിക്കാരും ലൂണയ്ക്ക് ആദരാഞ്ജലികൾ അർപ്പിച്ചു, सहगुस्तिकारुम्लूनेके आदराञ्जलिकल् अर्पिच्छु।
4,മുറിവുകൾക്കായി അദ്ദേഹം ഒരു ചിത്രം സജ്ജമാക്കിയിട്ടില്ല ചൈനയുടെ സാമ്പത്തിക ഉൽപാദനത്തെ അടിസ്ഥാനമാക്കിയാണ് അവ നിർമ്മിക്കുക എന്ന് പറഞ്ഞു, മുരുക്ക൉ള്കായ് അതൈഹം ഉരു ചീത്രും സജ്ജമാകീട്യ്ട്ര്ല് ചൈനീവുട്ടെ സാമ്പതുക്ക്ക് ഉല്പാധ്നത്റെ അതീസത്ഥാ
5,നാഷണൽ ട്രഷർ എന്ന സിനിമ നിങ്ങൾ കണ്ടിട്ടുണ്ടെങ്കിൽ സ്വാതന്ത്ര്യ പ്രഖ്യാപനത്തിൻ്റെ പിന്നിൽ ഒരു നിധിയുടെ മാപ്പ് എഴുതപ്പെട്ടതായി നിങ്ങൾക്ക് ചിലപ്പോൾ തോന്നാം, National Treasure इन्न सिन्म निंगल कंडिट्टु नेंकिल् स्वादन्द्रे प्रक्याबनतिन्दे पिन्निल् ओरुनिधियुदे माप एजुदपेट्टदाई निंगल्कु सिलपोल तोनाँ।
6,കടൽത്തീരത്ത് മിക്കപ്പോഴും കടലിലെ പാറക്കൂട്ടങ്ങളിലോ സമാനമായ എന്തെങ്കിലും ഒന്നിലോ വന്ന് തട്ടിത്തെറിച്ചു മടങ്ങിവരുന്ന തിരമാലകളുടെ പ്രവാഹമാണ് റിപ്പ് കറൻ്റുകൾ, ਕਡਲ ਤੀਰਤ ਮੀਕਪੂਡੁ ਕਡਲ ਇਲੇ ਪਾਰ ਕੂਟਾਂਗਲ਼ੀ ਲੋ ਸਮਾਨਾਮਾਯ ਎ਨ੍ਨੇਂਗਿਲੋ ਮੁਨ੍ਨੀਲੋ ਵਨ ਤਟੀ ਤਰੀਚ ਮਡ੆ਂਗੀ ਵੇਰੁਨ ਤੀਰੁਂ ਮਾਲੋ ਗ�
7,കേടുപാട് ഗുരുതരമായ സാമൂഹിക തടസം അല്ലെങ്കിൽ മനുഷ്യ ജീവൻ നഷ്‌ടപ്പെടൽ എന്നിവയുടെ സാധ്യതയുള്ള അപകടകരമായ കാലാവസ്ഥാ പ്രതിഭാസത്തിന് പൊതുവായി പറയുന്ന പദമാണ് കഠിനമായ കാലാവസ്ഥ എന്നത്, ਕੇਡੁਪਾਡੁ ਗੁਰੁਦਰਮਾਯ ਸਾਮੂਖੀਕ ਤਡੁਸਂ ਅਲੇਂਗੀਲ ਮਨੁ਷ੀ ਜੀਵਨ ਨ਷ਟਪਡਲ ਇਨ੍ਨੀਵਾਯੁਡੇ ਸਾਧਿਦੇ ਉਲਾ ਅਭਗਡਕਰਮਾਯ ਕਾਲਾਵਸਤ ਪਰਦੀਬਾਸਤ
8,രാസവസ്തു എത്രത്തോളം അസിഡിക് അല്ലെങ്കിൽ ബേസിക് ക്ഷാരസ്വഭാവമുള്ളത് ആണെന്നതിനെ ആശ്രയിച്ച് ജ്യൂസിന്റെ നിറം മാറുന്നു, रास वस्तु अत्रतोलम असिदिक अलेंकिल बेसिक शार सभावमुल्लद आननदने आश्रेच जूसिन्द निरम मारुनु।
9,53 വയസുകാരനായ ക്യൂമോ ഈ വർഷം ആദ്യം ഗവർണറായി ചുമതല ഏൽക്കുകയും സ്വവർഗ വിവാഹം നിയമവിധേയമാക്കുന്ന ബില്ലിൽ കഴിഞ്ഞ മാസം ഒപ്പ് വയ്ക്കുകയും ചെയ്തു, अम्बति मुनु वैसुकार नाय क्यूमु ई वर्षम आध्यम गवर्णराई चुमदल एल्कुगयुम् स्ववर्ग विवाहं नियम विदेयम आकुन्न बिल्लिल् कजिन्य मासं उप्पु विक्युगयुम् चेदु।
