,id,hypothesis,reference
0,18023272269047514633,ಆಗ ಮನೆಗೆ ನೀರಿನ ಪುರಸ್ಕಾರದಲ್ಲಿ ನಿರ್ಮಾಣ ಕೊನೆಗೆ ಅವರು ಮನೆಗೆ ನಿರ್ಮಾಣ ಕೊಡಿದ ಮನೆಗೆ ನಿರ್ಮಾಣ ಕೊಡಿದ ಮನೆಗೆ ನಿರ್ಮಾಣ ಕೊಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡಿದ ಮಾಡುವು,ಸಾಗರದಾದ್ಯಂತ ಜನರ ಮತ್ತು ಸರಕುಗಳ ಸಾಗಣೆ ಮಾಡಲು ಹಡಗುಗಳನ್ನು ಉಪಯೋಗಿಸುವುದೇ ಅತ್ಯಂತ ಸಮರ್ಥ ವಿಧಾನ
1,17165251365645619208,ಗವರ್ನರ್ ಜನರಲ್ ಕಚೇರಿಯ ಹೊರಗೆ ಒಂದು ಬಾಂಬ್ ಸಿಡಿಯಿತು,ಗವರ್ನರ್ ಜೆನರಲ್ ಕಚೇರಿಯ ಹೊರಗೆ ಒಂದು ಬಾಂಬ್ ಸಿಡಿಯಿತು
2,7037918493755352165,ಗವರ್ನರ್ ಜನರಲ್ ಕಚೇರಿಯ ಹೊರಗೆ ಒಂದು ಬಾಂಬ್ ಸಿಡಿಯಿತು,ಗವರ್ನರ್ ಜೆನರಲ್ ಕಚೇರಿಯ ಹೊರಗೆ ಒಂದು ಬಾಂಬ್ ಸಿಡಿಯಿತು
3,17522663892327066752,ಪಾದಯಾತ್ರೆಯ ಮಾರ್ಗದಂತೆಯೇ ಹಾರಾಟದ ಮಾರ್ಗ ಕುರಿತು ಒಮ್ಮೆ ಚಿಂತಿಸಿ,ಪಾದಯಾತ್ರೆಯ ಮಾರ್ಗದಂತೆಯೇ ಹಾರಾಟದ ಮಾರ್ಗದ ಕುರಿತು ಒಮ್ಮೆ ಚಿಂತಿಸಿ
4,2278795397297337931,ಕಾರ್ಖಾನೆಯಿಂದ ಬಿಳಿಯ ಹೊಗೆ ಬರುತ್ತಿರುವುದನ್ನು ಟಿ ವಿಗಳಲ್ಲಿ ಬಿತ್ತಿರಿಸಲಾಗುತ್ತಿದೆ,ಕಾರ್ಖಾನೆಯಿಂದ ಬಿಳಿಯ ಹೊಗೆ ಬರುತ್ತಿರುವುದನ್ನು ಟಿವಿಗಳಲ್ಲಿ ಬಿತ್ತರಿಸಲಾಗುತ್ತಿದೆ
5,16018025301292053401,ತಮ್ಮ ಪ್ರವಾಸದಲ್ಲಿ ಉಳಿದ ಸಂಗೀತ ಗೋಷ್ಠಿಗಳನ್ನು ಏರೋ ಸ್ಮಿತ್ ರದ್ದು ಮಾಡಿವೆ,ತಮ್ಮ ಪ್ರವಾಸದಲ್ಲಿ ಉಳಿದ ಸಂಗೀತ ಗೋಷ್ಠಿಗಳನ್ನು ಏರೋಸ್ಮಿತ್ ರದ್ದುಮಾಡಿವೆ
6,14453032857580785903,ಮಧ್ಯ ಪ್ರಾಚ್ಯದ ಪೆಚ್ಚನೆಯ ವಾತಾವರಣದಲ್ಲಿ ಮನೆ ಅಷ್ಟು ಮುಖ್ಯವಲ್ಲ,ಮಧ್ಯಪ್ರಾಚ್ಯದ ಬೆಚ್ಚನೆಯ ವಾತಾವರಣದಲ್ಲಿ ಮನೆ ಅಷ್ಟು ಮುಖ್ಯವಲ್ಲ
7,3741120149530394685,ಆದರೆ ಇನ್ನೂ ಡೈನೋಸಾರ್ ನಂತೆ ಕಾಣುವ ಪಕ್ಷಿಗಳ ಬಗ್ಗೆ ಹೆಚ್ಚು ವಿಷಯಗಳಿವೆ,ಆದರೆ ಇನ್ನೂ ಡೈನೋಸಾರ್ನಂತೆ ಕಾಣುವ ಪಕ್ಷಿಗಳ ಬಗ್ಗೆ ಹೆಚ್ಚು ವಿಷಯಗಳಿವೆ
8,7600898595267131975,ಈ ದಂಪತಿಗಳು ತಮ್ಮ ಮಗುವನ್ನು ದತ್ತು ಸ್ವೀಕಾರ ಯೋಜನೆಯಲ್ಲಿ ನೋಂದಾಯಿಸಬಹುದು,ಈ ದಂಪತಿಗಳು ತಮ್ಮ ಮಗುವನ್ನು ದತ್ತು ಸ್ವೀಕಾರ ಯೋಜನೆಯಲ್ಲಿ ನೋಂದಾಯಿಸಬಹುದು
9,12435802556961485372,ಹೊಸದನ್ನು ಕಾಣಿಸಿಕೊಂಡಾಗ ಕೀಬೋರ್ಡ್ ಹೇಗಿರುತ್ತದೆ ಎಂದು ಜನರು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತಾರೆ,ಹೊಸದನ್ನು ಕಾಣಿಸಿಕೊಂಡಾಗ ಕೀಬೋರ್ಡ್ ಹೇಗಿರುತ್ತದೆ ಎಂದು ಜನರು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತಾರೆ
10,7291850501646097003,ಗವರ್ನರ್ ಜನರಲ್ ಕಚೇರಿಯ ಹೊರಗೆ ಒಂದು ಬಾಂಬ್ ಸಿಡಿಯಿತು,ಗವರ್ನರ್ ಜೆನರಲ್ ಕಚೇರಿಯ ಹೊರಗೆ ಒಂದು ಬಾಂಬ್ ಸಿಡಿಯಿತು
11,6528662722475236999,ಬಗ್ಗೆ ಪೆನ್ಸಿಲ್ ಹೊರ ಬಂದಾಗ ಅನೇಕ ಜನರಿಗೆ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತನಾಗಿತ್ತು,ಹೀಗೆ ಪೆನ್ಸಿಲ್ ಹೊರಬಂದಾಗ ಅನೇಕ ಜನರಿಗೆ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತನಾಗಿತ್ತು
12,9849459794748034317,ಸಹ ಕುಸ್ತಿ ಪಟುಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು,ಸಹ ಕುಸ್ತಿಪಟುಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು
13,1587182975095790307,ಸಹ ಕುಸ್ತಿ ಪಟಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು,ಸಹ ಕುಸ್ತಿಪಟುಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು
14,16737477947162803745,ಕಾರ್ಖಾನೆ ಯಿಂದ ಬಿಳಿಯ ಹೊಗೆ ಬರುತ್ತಿರುವುದನ್ನು ಟಿವಿ ಗಳಲ್ಲಿ ಬಿತ್ತರಿಸಲಾಗುತ್ತಿದೆ,ಕಾರ್ಖಾನೆಯಿಂದ ಬಿಳಿಯ ಹೊಗೆ ಬರುತ್ತಿರುವುದನ್ನು ಟಿವಿಗಳಲ್ಲಿ ಬಿತ್ತರಿಸಲಾಗುತ್ತಿದೆ
15,4538105063080239371,ಆವಿಷ್ಕಾರವು ಪಕ್ಷಿ ಗರಿಗಳ ವಿಕಾಸದ ಒಳ ನೋಟವನ್ನು ಸಹ ನೀಡುತ್ತದೆ,ಆವಿಷ್ಕಾರವು ಪಕ್ಷಿ ಗರಿಗಳ ವಿಕಾಸದ ಒಳನೋಟವನ್ನು ಸಹ ನೀಡುತ್ತದೆ
16,10030110443681949241,ಸಹ ಕುಸ್ತಿ ಪಟುಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು,ಸಹ ಕುಸ್ತಿಪಟುಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು
17,11068347071756166499,ಮಧ್ಯ ಪ್ರಾಚ್ಯದ ಬೆಚ್ಚನೆಯ ವಾತಾವರಣದಲ್ಲಿ ಮನೆ ಅಷ್ಟು ಮುಖ್ಯವಲ್ಲ,ಮಧ್ಯಪ್ರಾಚ್ಯದ ಬೆಚ್ಚನೆಯ ವಾತಾವರಣದಲ್ಲಿ ಮನೆ ಅಷ್ಟು ಮುಖ್ಯವಲ್ಲ
18,2604510543461846278,ದ್ವೀಪ ಸಮೂಹ ಮತ್ತು ಸರೋವರಗಳಲ್ಲಿ ನಿಮಗೆ ವಿಹಾರ ರೌಕೆ ಇರಲೇಬೇಕು ಎಂದು ಅಗತ್ಯವಿಲ್ಲ,ದ್ವೀಪಸಮೂಹ ಮತ್ತು ಸರೋವರಗಳಲ್ಲಿ ನಿಮಗೆ ವಿಹಾರ ನೌಕೆ ಇರಲೇಬೇಕು ಎಂಬ ಅಗತ್ಯವಿಲ್ಲ
19,6872412877388841913,ಗಿಗಾದಲ್ಲಿರುವ ದಿ ಗ್ರೇಟ್ ಪಿರಾಮಿಡ್ ಇಂದಿಗೂ ಸಹ ಏಳು ಅದ್ಭುತ ನಿರ್ಮಾಣ ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ,ಗಿಗಾದಲ್ಲಿರುವ ದಿ ಗ್ರೇಟ್ ಪಿರಾಮಿಡ್ ಇಂದಿಗೂ ಸಹ ಏಳು ಅದ್ಭುತ ನಿರ್ಮಾಣ ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ
20,6910830228068463891,ಉದ್ವಿಗ್ನ ಪರಿಸ್ಥಿತಿ ಉಂಟಾಗುತ್ತಿದ್ದಂತೆಯೇ ಜರ್ಮನಿಯ ವಿರುದ್ಧ ನಿಷೇಧವನ್ನು ಬ್ರಿಟನ್ ಆರಂಭಿಸಿತು,ಉದ್ವಿಗ್ನ ಪರಿಸ್ಥಿತಿ ಉಂಟಾಗುತ್ತಿದ್ದಂತೆಯೇ ಜರ್ಮನಿಯ ವಿರುದ್ಧ ನಿಷೇಧವನ್ನು ಬ್ರಿಟನ್ ಆರಂಭಿಸಿತು
21,8619323681074767081,ಹೀಗೆ ಪೆನ್ಸಿಲ್ ಹೊರಬಂದಾಗ ಅನೇಕ ಜನರಿಗೆ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತವಾಗಿತ್ತು,ಹೀಗೆ ಪೆನ್ಸಿಲ್ ಹೊರಬಂದಾಗ ಅನೇಕ ಜನರಿಗೆ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತನಾಗಿತ್ತು
22,5427499225091394287,ಇದು ಗುಡ್ ಬೈ ಸಂದೇಶವಲ್ಲ ಇದು ಒಂದು ಅಧ್ಯಾಯದ ಮುಕ್ತಾಯ ಮತ್ತು ಹೊಸ ಅಧ್ಯಾಯದ ಶುರು,ಇದು ಗುಡ್ಬೈ ಸಂದೇಶವಲ್ಲ ಇದು ಒಂದು ಅಧ್ಯಾಯದ ಮುಕ್ತಾಯ ಮತ್ತು ಹೊಸ ಅಧ್ಯಾಯದ ಶುರು
23,18336922786691279859,ಆವಿಷ್ಕಾರವು ಪಕ್ಷಿ ಗರಿಗಳ ವಿಕಾಸದ ಒಳ ನೋಟವನ್ನು ಸಹ ನೀಡುತ್ತದೆ,ಆವಿಷ್ಕಾರವು ಪಕ್ಷಿ ಗರಿಗಳ ವಿಕಾಸದ ಒಳನೋಟವನ್ನು ಸಹ ನೀಡುತ್ತದೆ
