,id,hypothesis,reference
0,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:00:32.40_00:00:34.54,আড়ি ও,হরি বোল
1,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:24:37.04_00:24:44.48,নবীন দেখুনঃ টিস্য়ু পোপার হয আমি তাঁকরা অপ్ষণ উবধিরৱস এক মব,নবীন বাবু দেখুন টিস্যু পেপার হয়ে আমি আপনার পেছন অবদি পরিস্কার করতে রাজি আছি।
2,MAHARANI_EP_04_BENGALI_20_PM.STEREO_00:02:27.01_00:02:29.12,বৌ গুলোকেও মার বানগি,বউ গুলো কেও মারবো নাকি ?
3,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:14:15.56_00:14:18.25,আর রেল মন্তি বিষয় কী ভাবু,"আর রেল, রেলমন্ত্রী কে হবে মিশ্রাবাবু ?"
4,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:27:02.01_00:27:04.54,ধরুন কাগজে মম্ম এক বিশ নির পাবরণ সভা হৃদয়তা,ধরুন কাগজে কলমে মুখ্যমন্ত্রীর কাগজ ।
5,MAHARANI_EP_04_BENGALI_20_PM.STEREO_00:32:44.09_00:32:50.43,একদম আপনি ধরতে ফাঁড়ন তিন্যার গা ঘোট কৃষক দূব অবসী মিরৎস হয় থা,"একদম, আপনি ধরতে পারেন আমাদের গ্রামের ধানের গোলা! কিছুক্ষনের জন্য এটা ধানের গোলা ধরে নিচ্ছি।"
6,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:07:47.55_00:07:52.00,সরকার টিকবেও আরবা চলব ও,সরকার টিকবেও আট চলবেও।
7,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:06:05.42_00:06:12.45,নভীনবাবু সরকা র গোড়লে পাট ক্ষুব ছয় শহজী খংজিতত ঘ ষ ন ও চ থ ত,নবীন বাবু সরকার গড়লে পার্টি খুব সহজেই স্নগখ্যাগরিষ্টতা ঘোষনা করতে পারবে আর সরকারের স্থীরতা থাকবে।
8,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:26:10.35_00:26:19.56,বিফাইয়ার্লি খোঁতে হবুন ছिনদা করছুনৱ আভৃজীব একন,"এফ আই আর লেখাতে হবে, চিন্তা করবেন না আমি ওকে বলে দেব, এখন তো আপনার সরকার ও ভাঙবে,"
9,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:12:36.50_00:12:42.51,তব ভিমা বাবুর সাথেই আমরো প্রলોচনাక হয়৆ গৱছি নুত কৃতম দূলিകী একইক,"তা ভীমা বাবুর সাথে আমার আলোচনা হয়ে গেছে, নতুন মন্ত্রীমন্ডলে কে কে থাকবে বলছি"
10,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:13:34.12_00:13:39.42,আমি নার বউয়াট তিন জন্য দিবী খেযা হলছো সূম করা,"আমি আমার বউ আর তিন বাচ্চার দিব্যি খেয়ে বলছি মহামান্য,"
11,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:22:00.40_00:22:02.49,এই বয়সব উনি মেডল নী আসত্বব,এই বয়সে উনি মেডেল নিয়ে আসতে পারবেন
12,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:26:24.01_00:26:31.07,ন঵ীন বাবুঃ আপাঁক নেওয়া সূল্য চাబি করিও পুৎল এর মতো,"নবীন বাবু আপনি আসলে চাবি দেয়া পুতুলের মতো,"
13,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:14:46.01_00:14:46.54,আশু,আসেননি
14,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:07:46.26_00:07:47.54,এই নির্বাচনের কৃষণ পরিয়ন সংগোলি হতী উপজন,হুম
15,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:30:29.01_00:30:39.08,উদ্যোক মহাশয চার টা বেজ এগল তিন কুমূহৃত নির১�বস পুরসীকি ছি,অধ্যক্ষ মহাশয় চারটে বেজে গেলো এখন মুখ্যমন্ত্রী সাহেবের ভাষণবাজী আর ডিলে টয়াক্টিক চলবেনা
16,MAHARANI_EP_04_BENGALI_20_PM.STEREO_00:25:10.01_00:25:11.20,গোটা বিহার,গোঁটা বিহার।
17,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:29:07.10_00:29:15.06,আর অদ্ভুত কথা বলছেন তো আপনি যিক চাকু শী বলবৃনূয় পরারব এঁট ম৅টৰ গণতম হৱমি,"আরে অদ্ভুত কথা বলছেন তো আপনি, যে যা খুশি বলবে আর আর আপনি সেটা মেনে নিবেন, গণতন্ত্র বলে কিছু নেই নাকি"
18,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:18:30.01_00:18:44.19,দেখ তোমায় শুধু কিন ট্যা পুরৎসনও গড়ব বৃহনীর ম৾লিরত এই ওণাక৆ দি চা়গূজ ইপসৈকী আদ নിয ছি,দেখো তোমায় শুধু তিন টে প্রশ্ন করবো। বিমলা দেবির মালিক কে? অনাকে দিয়ে কাগজে টিপ সই কে দিয়ে নিয়েছিল? আর গভর্নরের পি এ শ্যাম বাবুর সাথে মাচান বাবার আশ্রমে দেখা করেছিলেও?কেন? তাড়াতাড়ি বল এখুনি বল।
19,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:28:00.01_00:28:04.24,পার ঵ে জাল এম ফোন কুলছি বু৲সিয়ন্ আপরনা শত দৃখক উঠতি,"পারভেজ আলম ফোন করেছিলেন, বলছেন আপনার সাথে দেখা করতে চান।"
20,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:32:21.05_00:32:26.09,একমিনেট অনার কী চুমোন পড়ছ্যা আম এ বি শ ওয়৺য সাত,"এক মিনিট, উনার কিছু মনে পড়ছে, আমি এ বিষোয় উনার সাথে"
21,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:20:25.10_00:20:31.56,রানিভার্তী বেশি অযোগন কিবই ভীমা বাబু এক ম দূর নীৎগ્ৰস,রানী ভারতী বেশি অযোগ্য নাকি ভীমা বাবু বেশি দুর্নীতিগ্রস্থ
22,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:32:13.40_00:32:19.00,বিরোধী দলের সঙ্গ আপনারা যুব কূত হতাই অমাనি ছট ও চুটিন পরాচ ঁচేষু একইন,বিরোধী দলের সঙ্গে আপনারা সবাই যুক্ত হয়ে আমাকে ছোট করার চেষ্টা করছেন তাই না।
23,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:03:50.30_00:03:51.52,উক তো মূতি হুঁ,ওকে তো মরতেই হতো
24,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:10:26.55_00:10:27.39,এ নিয়ে কর্ম সাত মোট এন দিবস উপসূচনী পর চুব ড,এই নিন
25,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:30:32.20_00:30:37.47,রাম চন্দ সীতা মারের একই বলছিল য়ন কোলুজিব আসনি পর,রাম চন্দ্র সীতা মাতাকে বলেছিলেন যে এমন কলিজুগ আসবে যাতে
26,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:17:19.10_00:17:26.47,এই পাঁচ মোসের ত্বমা রুখূ কিছু অনীক শিরছি সাবৎ নি,এই পাঁচ মাসে তোমার থেকে অনেক কিছু শিখেছি সাহেব আমার সরকার তো বাচাবই
27,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:42:35.20_00:42:41.14,সাহেব তোমা কিছু বলার ছি ল,সাহেব তোমাকে কিছু বলার ছিলো ।
28,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:20:53.46_00:20:57.51,আজঃ কোনও ব্যাপন নেওয়া আ শুন,আচ্ছা কোনো ব্যাপার না আসুন আমি আপনাকে পৌঁছে দিচ্ছি ।
29,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:43:50.18_00:43:57.39,বিহারের রাজনীতি ক্ষোভা ভী ম সি,বিহারের রাজনীতিতে ভীমা সিং ভারতীর নাম সব সময় উজ্জ্বল থাকবে ।
30,MAHARANI_EP_04_BENGALI_20_PM.STEREO_00:37:07.01_00:37:08.11,ফোন তুলা ছে,ফোন তুলেছে!
31,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:25:11.59_00:25:18.46,কিয়া঵ার হবে এবং আমনদ্রীল গলা করড় থব সিఏম মো শৈনী ডি,"কি আবার হবে, এবার আমাদের গলা টেপা হবে। সি এম মহাশয়ার ডি এম আর বকি অধ্যক্ষ দের"
32,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:25:15.20_00:25:18.52,ম্যাডম কিছু দরোকর ছిল,ম্যাডাম কিছু দরকার ছিলো ?
33,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:07:21.01_00:07:29.04,আমি তো সাংবিধ্যনির পদ রয়েছৃ অনীম মূথা এই বীধারী উদভপৌধ করత হয ও গড়,"আমি তো সাংবিধানিক পদে রয়েছি, নিয়ম প্রথা আর লিপিবদ্ধ প্রক্রিয়ায় যা করতে হয় তাই করব।"
34,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:01:07.01_00:01:11.29,হে এই বিল আছি কি়ন তুন্ত না গোর,হ্যাঁ বিল তো আছে কিন্তু নকল।
35,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:19:00.38_00:19:08.39,রামী বিশ্বুর দেখনা পোষুপলনূয়ভীভকি ন অজ ও মিৎসক সু ধ আপ কৃণত জছু,"আর আমি শুধু একা না, পশুপালন বিভাগের নয় জন বিধায়ক শুধু আপনার জন্য নিয়ে এসব আমি বলে দিলাম"
36,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:21:56.39_00:22:03.29,কি হাশ্য যু আমিতে বলল সীত খলী নদীবোষণ জখুন শারুরা থব তখ কৱনূ ভৃত,আশ্চার্য আমি তো ভাবলাম শীতকালীন অডিবেশন যখন শুরু হবে তখন না হয় রানী সরকার ভেঙে নিজের সরকার করবো।
37,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:22:00.30_00:22:03.00,ছুনলেন কি আপ্মাকী গোলির বিশ এক পারা চি,শুনলাম নাকি আপনাকে গুলি করেছে কেউ রাঁচিতে ।
38,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:25:00.20_00:25:01.49,রা নিভানী হোর,রানী ভীমা মহা চোর
39,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:25:06.02_00:25:07.20,আর আপনা কে,আর আপনাকে?
40,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:01:53.28_00:01:58.53,আমার কথা বাধ্যে নিজীকী গুঁটব পোড়ি সূচন এক ভা,আমার কথা বাদ দে নিজেকে কিকরে বাচাবি সেটা ভাব।
41,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:08:45.15_00:08:50.19,না এই রকম কোন ব্যাপার নেওয় পরীমবাబু গ৆উ তুলটুব ভলূটাപু উঁজিল হৃণি মॅডমకি,"না না না এরকম কোনো বেপার না প্রেম বাবু, কেও তো উল্টো পাল্টা বুঝিয়েছে রানী ম্যাডামকে"
42,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:31:32.23_00:31:33.48,কি স্টেটস ভারঘব,কি স্ট্যাটাস ভার্গব
43,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:28:26.35_00:28:32.00,আর বীমাবহুতো সিএম কে পরস্কায় রূপ নি এ দিব হত,"আর ভীমা বাবু তো সি এম কে পরিষ্কার বলেই দিয়েছেন যে আপনাকে সরান হবে না, তাই হবে না।"
44,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:27:11.20_00:27:18.19,হাঁ চিন্তা করবেন নার পঁয়টি শো দশ মি,"হ্যাঁ চিন্তা করবেন না, পাঁচ কোটি, দশ কোটি যার যতো চাই অএয়ে যাবে ।"
45,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:18:57.53_00:19:06.00,মানববার না আমেদরি কথ্য শোন হয়ৃত এই তিন,"মান্যবর না আমা্দের কথা শোনা হয়েছে, না আমাদের সত্য প্রমান করার কোন সুযোগ দেওয়া হয়েচে।"
46,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:09:49.30_00:09:58.49,আর ট্রেসরি অফিসা ছোট লালী একমত হুঁড় উৎতু পারమিবন ওটস থূট,"আর ট্রেজারি অফিসার ছোটেলালই একমাত্র এর উত্তর দিতে পারে, ওর সাথে দেখা না করে আমি যাবোনা এখান থেকে।"
47,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:14:58.42_00:15:08.03,এক হাজার দুই শো বিরন্দা কটি পুরেশ সু ছয় তিন মি,"দুশো সোল কোটি, আমি কিছু ভুল করছিনা বীরেন্দর, আমার অবস্থাটা তো বোঝো,"
48,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:23:42.46_00:23:49.00,আমাকে ভয় এখনোর চিষ্টা কড়ি হতৃত তাৎ পরিবস আরব,আমাকে ভয় দেখানোর চেষ্টা করা হচ্ছে তাতে পরিষ্কার বলে দিচ্ছি আমি
49,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:16:55.21_00:16:59.14,আমার পুরো বিশ্রাস মুখেনা বু ছব ন,আমার পুরো বিশ্বাস মহামান্য বুঝবে।
50,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:29:23.01_00:29:24.34,যাই হোক,যাই হোক।
51,MAHARANI_EP_04_BENGALI_20_PM.STEREO_00:35:52.01_00:35:55.01,জয়ীন সার মাহরব গুপ্তা জেলাశা,জয় হিন্দ ! স্যার।মানাভগুপ্তা জেলা শাষক।
52,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:25:33.50_00:25:36.12,সিস্টেম এর বৃদ দি যাওয়ারটা ইত শহুজ নশ আট,সিস্টেমের বিরুদ্ধে যাওয়া টা এতো সহজ না স্যার।
53,MAHARANI_EP_04_BENGALI_20_PM.STEREO_00:37:55.01_00:37:57.45,কি আর কৌ রাজা পে,কি আর করা যাবে।
54,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:31:22.16_00:31:37.20,আ এই ধরুন প্রায় আট বছর অগেতা তো ওনাৰ কূটি চলসীকিনৱ উপসংবৃত মিৎস ঘ৷ম দশলী হয থব,অ্যা এই ধরুন প্রায় আট বছর আগে। তারপর ওনার নামে একটা জালি কম্পানি বানান বি সি ফুড নাম দিয়ে। তখন থেকেই প্রত্যেক বছর পশুপালন বিভাগ থেকে বি সি ফুডের নামে কোটি কোটি টাকার জালিয়াতি চলছে।
55,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:09:01.01_00:09:07.49,স্যার আপনি কেন বোঝত পরছিয়া গাল এক মকষ অনু ওষুধ হতা,"স্যার আপনি কেনো বুহতে পারছেন না, কাল অনেক কষ্টে আমরা প্রাণ বাঁচিয়েছি"
56,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:16:11.50_00:16:18.51,এই দেখুনঃ রাজির ট্রેচড়ি থিন পশু বলোনবिভা সাব হয় শ কોটি,এই দেখুন রাচি ট্রেজারি থেকে পশুপাওলন বিভাগ সাতাশ কোটি টাকা একসেস উইথড্রল করেছে ।
57,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:36:29.01_00:36:41.25,জি এইভাবে দ্যাখা করাയ় উপজোনিকির খুম শূমা,"জি, এভাবে দেখা করার জন্যে ক্ষমা চাইছি। কাজ টাই এরকম।"
58,MAHARANI_EP_05_BENGALI_20_PM.STEREO_00:19:39.01_00:19:42.09,জুনেদ এটা কোন ভাষার্গত বলছিস,"জুনায়েদ, এটা কোন ভাষায় কথা বলছিস ?"
59,MAHARANI_EP_09_BENGALI_20_PM.STEREO_00:01:16.34_00:01:19.51,কিন্তু টুরুপের তাস কো আমারক হি ছি,কিন্তু তুরুপের তাস তো আমার কাছে ছিলো ।
60,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:25:58.20_00:26:02.51,ন আপনার বলাকথা ভসরযোগ্য ও নেই লীখা,না আপনার বলা কথা ভরসার যোগ্য আর না এই লেখা।
61,MAHARANI_EP_08_BENGALI_20_PM.STEREO_00:16:36.04_00:16:41.14,আসল এই মায়েত চিকিৎস্যার জছি গা কীছু টোক দরখা,আসলে মায়ের চিকিতসার জন্যে কিছু টাকার দরকার ছিল।
62,MAHARANI_EP_06_BENGALI_20_PM.STEREO_00:32:53.40_00:32:54.46,জান,যান।
63,MAHARANI_EP_07_BENGALI_20_PM.STEREO_00:34:47.34_00:34:53.29,তর বেজুন ফাটা মোক আপন্যাપণি খু লব য়া,"তার পেছন ফাটাও মুখ আপনা আপনি খুলে যাবে, কেমন খেতে ?"
64,MAHARANI_EP_10_BENGALI_20_PM.STEREO_00:13:18.50_00:13:20.00,পাগুল হচ্ছো নকি তূমি,পাগল হয়েছো নাকি তুমি
